"raceid","driverid","lap","position","time","milliseconds"
1031,822,1,1,"01:11.5",71454
1031,822,2,1,"01:09.4",69441
1031,822,3,1,"01:09.6",69598
1031,822,4,1,"01:09.6",69592
1031,822,5,1,"01:09.2",69159
1031,822,6,1,"01:09.4",69386
1031,822,7,1,"01:09.1",69051
1031,822,8,1,"01:09.2",69185
1031,822,9,1,"01:09.4",69357
1031,822,10,1,"01:09.5",69457
1031,822,11,1,"01:09.4",69407
1031,822,12,1,"01:09.6",69649
1031,822,13,1,"01:09.3",69333
1031,822,14,1,"01:09.5",69547
1031,822,15,1,"01:09.3",69300
1031,822,16,1,"01:09.4",69417
1031,822,17,1,"01:09.2",69224
1031,822,18,1,"01:09.0",69049
1031,822,19,1,"01:09.3",69260
1031,822,20,1,"01:09.5",69512
1031,822,21,1,"01:09.7",69699
1031,822,22,1,"01:09.8",69847
1031,822,23,1,"01:09.6",69617
1031,822,24,1,"01:10.4",70405
1031,822,25,1,"01:10.1",70149
1031,822,26,1,"01:24.1",84118
1031,822,27,1,"02:02.9",122933
1031,822,28,1,"01:50.8",110849
1031,822,29,1,"01:55.3",115283
1031,822,30,1,"01:53.7",113743
1031,822,31,1,"01:08.7",68736
1031,822,32,1,"01:08.7",68733
1031,822,33,1,"01:08.5",68520
1031,822,34,1,"01:08.5",68524
1031,822,35,1,"01:08.4",68433
1031,822,36,1,"01:08.3",68260
1031,822,37,1,"01:08.2",68194
1031,822,38,1,"01:08.2",68235
1031,822,39,1,"01:08.3",68303
1031,822,40,1,"01:08.1",68131
1031,822,41,1,"01:08.1",68142
1031,822,42,1,"01:08.3",68272
1031,822,43,1,"01:08.5",68472
1031,822,44,1,"01:08.3",68322
1031,822,45,1,"01:08.2",68231
1031,822,46,1,"01:08.5",68462
1031,822,47,1,"01:08.4",68421
1031,822,48,1,"01:08.3",68279
1031,822,49,1,"01:08.4",68422
1031,822,50,1,"01:08.4",68351
1031,822,51,1,"01:15.4",75384
1031,822,52,1,"01:55.4",115395
1031,822,53,1,"02:00.1",120100
1031,822,54,1,"01:40.1",100093
1031,822,55,1,"01:36.1",96079
1031,822,56,1,"01:54.8",114808
1031,822,57,1,"01:57.8",117837
1031,822,58,1,"01:49.8",109815
1031,822,59,1,"01:42.6",102625
1031,822,60,1,"01:38.5",98546
1031,822,61,1,"01:08.2",68204
1031,822,62,1,"01:08.4",68378
1031,822,63,1,"01:08.1",68062
1031,822,64,1,"01:08.2",68174
1031,822,65,1,"01:08.2",68238
1031,822,66,1,"01:08.2",68199
1031,822,67,1,"01:08.0",68023
1031,822,68,1,"01:07.7",67657
1031,822,69,1,"01:10.0",70046
1031,822,70,1,"01:08.2",68200
1031,822,71,1,"01:08.4",68412
1031,830,1,2,"01:13.5",73501
1031,830,2,2,"01:09.9",69859
1031,830,3,2,"01:09.4",69380
1031,830,4,2,"01:09.4",69428
1031,830,5,2,"01:09.4",69351
1031,830,6,2,"01:09.5",69469
1031,830,7,2,"01:09.6",69577
1031,830,8,2,"01:09.5",69538
1031,830,9,2,"01:09.5",69459
1031,830,10,2,"01:09.5",69451
1031,830,11,20,"02:18.7",138665
1031,846,1,3,"01:14.6",74567
1031,846,2,3,"01:10.4",70366
1031,846,3,4,"01:11.2",71197
1031,846,4,5,"01:10.8",70810
1031,846,5,5,"01:09.9",69949
1031,846,6,5,"01:10.0",70017
1031,846,7,5,"01:10.2",70228
1031,846,8,5,"01:10.3",70324
1031,846,9,5,"01:10.1",70132
1031,846,10,5,"01:10.3",70324
1031,846,11,4,"01:10.4",70449
1031,846,12,4,"01:10.1",70112
1031,846,13,4,"01:10.3",70309
1031,846,14,4,"01:10.2",70210
1031,846,15,4,"01:10.2",70187
1031,846,16,4,"01:10.2",70235
1031,846,17,4,"01:10.1",70052
1031,846,18,4,"01:09.9",69984
1031,846,19,4,"01:10.0",70029
1031,846,20,4,"01:09.9",69860
1031,846,21,4,"01:10.0",70012
1031,846,22,4,"01:09.9",69933
1031,846,23,4,"01:10.1",70106
1031,846,24,4,"01:09.9",69940
1031,846,25,4,"01:09.9",69963
1031,846,26,4,"01:30.2",90234
1031,846,27,4,"01:50.2",110203
1031,846,28,4,"01:43.8",103795
1031,846,29,4,"01:54.1",114141
1031,846,30,4,"01:50.7",110654
1031,846,31,4,"01:10.5",70457
1031,846,32,4,"01:09.7",69651
1031,846,33,5,"01:10.5",70548
1031,846,34,5,"01:09.0",69008
1031,846,35,5,"01:09.3",69311
1031,846,36,5,"01:09.2",69205
1031,846,37,5,"01:09.1",69111
1031,846,38,5,"01:08.9",68923
1031,846,39,5,"01:09.0",69026
1031,846,40,5,"01:09.0",69044
1031,846,41,5,"01:09.1",69074
1031,846,42,5,"01:08.9",68865
1031,846,43,5,"01:08.8",68787
1031,846,44,5,"01:08.9",68898
1031,846,45,5,"01:09.2",69217
1031,846,46,5,"01:09.2",69175
1031,846,47,5,"01:08.9",68978
1031,846,48,5,"01:08.7",68699
1031,846,49,5,"01:08.7",68695
1031,846,50,5,"01:08.6",68638
1031,846,51,5,"01:23.7",83701
1031,846,52,6,"01:49.4",109362
1031,846,53,5,"01:45.6",105573
1031,846,54,5,"01:36.2",96233
1031,846,55,5,"01:40.5",100490
1031,846,56,5,"01:54.2",114196
1031,846,57,5,"01:56.2",116164
1031,846,58,5,"01:51.2",111211
1031,846,59,5,"01:43.3",103284
1031,846,60,5,"01:33.9",93893
