"raceid","year","round","circuitid","name","date"
1031,2020,1,70,"Austrian Grand Prix","2020-07-05"
1032,2020,2,70,"Styrian Grand Prix","2020-07-12"
1033,2020,3,11,"Hungarian Grand Prix","2020-07-19"
1034,2020,4,9,"British Grand Prix","2020-08-02"
1035,2020,5,9,"70th Anniversary Grand Prix","2020-08-09"
1036,2020,6,4,"Spanish Grand Prix","2020-08-16"
1037,2020,7,13,"Belgian Grand Prix","2020-08-30"
1038,2020,8,14,"Italian Grand Prix","2020-09-06"
1039,2020,9,76,"Tuscan Grand Prix","2020-09-13"
1040,2020,10,71,"Russian Grand Prix","2020-09-27"
1041,2020,11,20,"Eifel Grand Prix","2020-10-11"
1042,2020,12,75,"Portuguese Grand Prix","2020-10-25"
1043,2020,13,21,"Emilia Romagna Grand Prix","2020-11-01"
1044,2020,14,5,"Turkish Grand Prix","2020-11-15"
1045,2020,15,3,"Bahrain Grand Prix","2020-11-29"
1046,2020,16,3,"Sakhir Grand Prix","2020-12-06"
1047,2020,17,24,"Abu Dhabi Grand Prix","2020-12-13"
1053,2021,2,21,"Emilia Romagna Grand Prix","2021-04-18"
1074,2022,1,3,"Bahrain Grand Prix","2022-03-20"
1052,2021,1,3,"Bahrain Grand Prix","2021-03-28"
1051,2021,20,78,"Qatar Grand Prix","2021-11-21"
1054,2021,3,75,"Portuguese Grand Prix","2021-05-02"
1055,2021,4,4,"Spanish Grand Prix","2021-05-09"
1056,2021,5,6,"Monaco Grand Prix","2021-05-23"
1057,2021,6,73,"Azerbaijan Grand Prix","2021-06-06"
1058,2021,8,70,"Styrian Grand Prix","2021-06-27"
1059,2021,7,34,"French Grand Prix","2021-06-20"
1060,2021,9,70,"Austrian Grand Prix","2021-07-04"
1061,2021,10,9,"British Grand Prix","2021-07-18"
1062,2021,11,11,"Hungarian Grand Prix","2021-08-01"
1063,2021,12,13,"Belgian Grand Prix","2021-08-29"
1064,2021,13,39,"Dutch Grand Prix","2021-09-05"
1065,2021,14,14,"Italian Grand Prix","2021-09-12"
1066,2021,15,71,"Russian Grand Prix","2021-09-26"
1067,2021,16,5,"Turkish Grand Prix","2021-10-10"
1069,2021,17,69,"United States Grand Prix","2021-10-24"
1070,2021,18,32,"Mexico City Grand Prix","2021-11-07"
1071,2021,19,18,"S茫o Paulo Grand Prix","2021-11-14"
1072,2021,21,77,"Saudi Arabian Grand Prix","2021-12-05"
1073,2021,22,24,"Abu Dhabi Grand Prix","2021-12-12"
1075,2022,2,77,"Saudi Arabian Grand Prix","2022-03-27"
1076,2022,3,1,"Australian Grand Prix","2022-04-10"
1077,2022,4,21,"Emilia Romagna Grand Prix","2022-04-24"
1078,2022,5,79,"Miami Grand Prix","2022-05-08"
1079,2022,6,4,"Spanish Grand Prix","2022-05-22"
1080,2022,7,6,"Monaco Grand Prix","2022-05-29"
1081,2022,8,73,"Azerbaijan Grand Prix","2022-06-12"
1082,2022,9,7,"Canadian Grand Prix","2022-06-19"
1083,2022,10,9,"British Grand Prix","2022-07-03"
1084,2022,11,70,"Austrian Grand Prix","2022-07-10"
1085,2022,12,34,"French Grand Prix","2022-07-24"
1086,2022,13,11,"Hungarian Grand Prix","2022-07-31"
1087,2022,14,13,"Belgian Grand Prix","2022-08-28"
1088,2022,15,39,"Dutch Grand Prix","2022-09-04"
1089,2022,16,14,"Italian Grand Prix","2022-09-11"
1091,2022,17,15,"Singapore Grand Prix","2022-10-02"
1092,2022,18,22,"Japanese Grand Prix","2022-10-09"
1093,2022,19,69,"United States Grand Prix","2022-10-23"
1094,2022,20,32,"Mexico City Grand Prix","2022-10-30"
1095,2022,21,18,"S茫o Paulo Grand Prix","2022-11-13"
1096,2022,22,24,"Abu Dhabi Grand Prix","2022-11-20"
1098,2023,1,3,"Bahrain Grand Prix","2023-03-05"
1099,2023,2,77,"Saudi Arabian Grand Prix","2023-03-19"
1100,2023,3,1,"Australian Grand Prix","2023-04-02"
1101,2023,4,73,"Azerbaijan Grand Prix","2023-04-30"
1102,2023,5,79,"Miami Grand Prix","2023-05-07"
1104,2023,6,6,"Monaco Grand Prix","2023-05-28"
1105,2023,7,4,"Spanish Grand Prix","2023-06-04"
1106,2023,8,7,"Canadian Grand Prix","2023-06-18"
1107,2023,9,70,"Austrian Grand Prix","2023-07-02"
1108,2023,10,9,"British Grand Prix","2023-07-09"
