"resultid","raceid","driverid","constructorid","number","grid","position","positiontext","positionorder","points","statusid"
24626,1031,822,131,"77",1,"1","1",1,"25",1
24627,1031,844,6,"16",7,"2","2",2,"18",1
24628,1031,846,1,"4",3,"3","3",3,"16",1
24629,1031,1,131,"44",5,"4","4",4,"12",1
24630,1031,832,1,"55",8,"5","5",5,"10",1
24631,1031,815,211,"11",6,"6","6",6,"8",1
24632,1031,842,213,"10",12,"7","7",7,"6",1
24633,1031,839,4,"31",14,"8","8",8,"4",1
24634,1031,841,51,"99",18,"9","9",9,"2",1
24635,1031,20,6,"5",11,"10","10",10,"1",1
24636,1031,849,3,"6",20,"11","11",11,"0",1
24637,1031,826,213,"26",13,"12","12",12,"0",22
24638,1031,848,9,"23",4,"13","13",13,"0",40
24639,1031,8,51,"7",19,"\N","R",14,"0",36
24640,1031,847,3,"63",17,"\N","R",15,"0",32
24641,1031,154,210,"8",15,"\N","R",16,"0",23
24642,1031,825,210,"20",16,"\N","R",17,"0",23
24643,1031,840,211,"18",9,"\N","R",18,"0",5
24644,1031,817,4,"3",10,"\N","R",19,"0",25
24645,1031,830,9,"33",2,"\N","R",20,"0",40
24646,1032,1,131,"44",1,"1","1",1,"25",1
24647,1032,822,131,"77",4,"2","2",2,"18",1
24648,1032,830,9,"33",2,"3","3",3,"15",1
24649,1032,848,9,"23",6,"4","4",4,"12",1
24650,1032,846,1,"4",9,"5","5",5,"10",1
24651,1032,815,211,"11",17,"6","6",6,"8",1
24652,1032,840,211,"18",12,"7","7",7,"6",1
24653,1032,817,4,"3",8,"8","8",8,"4",1
24654,1032,832,1,"55",3,"9","9",9,"3",11
24655,1032,826,213,"26",13,"10","10",10,"1",11
24656,1032,8,51,"7",16,"11","11",11,"0",11
24657,1032,825,210,"20",15,"12","12",12,"0",11
24658,1032,154,210,"8",0,"13","13",13,"0",11
24659,1032,841,51,"99",19,"14","14",14,"0",11
24660,1032,842,213,"10",7,"15","15",15,"0",11
24661,1032,847,3,"63",11,"16","16",16,"0",12
24662,1032,849,3,"6",18,"17","17",17,"0",12
24663,1032,839,4,"31",5,"\N","R",18,"0",25
24664,1032,844,6,"16",14,"\N","R",19,"0",130
24665,1032,20,6,"5",10,"\N","R",20,"0",130
24666,1033,1,131,"44",1,"1","1",1,"26",1
24667,1033,830,9,"33",7,"2","2",2,"18",1
24668,1033,822,131,"77",2,"3","3",3,"15",1
24669,1033,840,211,"18",3,"4","4",4,"12",1
24670,1033,848,9,"23",13,"5","5",5,"10",1
24671,1033,20,6,"5",5,"6","6",6,"8",11
24672,1033,815,211,"11",4,"7","7",7,"6",11
24673,1033,817,4,"3",11,"8","8",8,"4",11
24674,1033,832,1,"55",9,"9","9",9,"2",11
24675,1033,825,210,"20",0,"10","10",10,"1",11
24676,1033,844,6,"16",6,"11","11",11,"0",11
24677,1033,826,213,"26",17,"12","12",12,"0",11
24678,1033,846,1,"4",8,"13","13",13,"0",11
24679,1033,839,4,"31",14,"14","14",14,"0",11
24680,1033,8,51,"7",20,"15","15",15,"0",11
24681,1033,154,210,"8",0,"16","16",16,"0",11
24682,1033,841,51,"99",19,"17","17",17,"0",11
24683,1033,847,3,"63",12,"18","18",18,"0",11
24684,1033,849,3,"6",15,"19","19",19,"0",15
24685,1033,842,213,"10",10,"\N","R",20,"0",5
24686,1034,1,131,"44",1,"1","1",1,"25",1
24687,1034,830,9,"33",3,"2","2",2,"19",1
24688,1034,844,6,"16",4,"3","3",3,"15",1
24689,1034,817,4,"3",8,"4","4",4,"12",1
24690,1034,846,1,"4",5,"5","5",5,"10",1
24691,1034,839,4,"31",9,"6","6",6,"8",1
24692,1034,842,213,"10",11,"7","7",7,"6",1
24693,1034,848,9,"23",12,"8","8",8,"4",1
24694,1034,840,211,"18",6,"9","9",9,"2",1
24695,1034,20,6,"5",10,"10","10",10,"1",1
24696,1034,822,131,"77",2,"11","11",11,"0",1
24697,1034,847,3,"63",20,"12","12",12,"0",1
24698,1034,832,1,"55",7,"13","13",13,"0",1
24699,1034,841,51,"99",15,"14","14",14,"0",1
24700,1034,849,3,"6",18,"15","15",15,"0",1
24701,1034,154,210,"8",17,"16","16",16,"0",1
24702,1034,8,51,"7",16,"17","17",17,"0",11
24703,1034,826,213,"26",19,"\N","R",18,"0",3
24704,1034,825,210,"20",14,"\N","R",19,"0",4
24705,1034,807,211,"27",13,"\N","W",20,"0",131
24706,1035,830,9,"33",4,"1","1",1,"25",1
24707,1035,1,131,"44",2,"2","2",2,"19",1
24708,1035,822,131,"77",1,"3","3",3,"15",1
24709,1035,844,6,"16",8,"4","4",4,"12",1
24710,1035,848,9,"23",9,"5","5",5,"10",1
24711,1035,840,211,"18",6,"6","6",6,"8",1
24712,1035,807,211,"27",3,"7","7",7,"6",1
24713,1035,839,4,"31",14,"8","8",8,"4",1
24714,1035,846,1,"4",10,"9","9",9,"2",1
24715,1035,826,213,"26",16,"10","10",10,"1",1
24716,1035,842,213,"10",7,"11","11",11,"0",1
24717,1035,20,6,"5",11,"12","12",12,"0",1
24718,1035,832,1,"55",12,"13","13",13,"0",1
24719,1035,817,4,"3",5,"14","14",14,"0",11
24720,1035,8,51,"7",20,"15","15",15,"0",11
24721,1035,154,210,"8",13,"16","16",16,"0",11
24722,1035,841,51,"99",19,"17","17",17,"0",11
24723,1035,847,3,"63",15,"18","18",18,"0",11
24724,1035,849,3,"6",18,"19","19",19,"0",11
24725,1035,825,210,"20",17,"\N","R",20,"0",31
24726,1036,1,131,"44",1,"1","1",1,"25",1
24727,1036,830,9,"33",3,"2","2",2,"18",1
24728,1036,822,131,"77",2,"3","3",3,"16",1
24729,1036,840,211,"18",5,"4","4",4,"12",11
24730,1036,815,211,"11",4,"5","5",5,"10",11
24731,1036,832,1,"55",7,"6","6",6,"8",11
24732,1036,20,6,"5",11,"7","7",7,"6",11
24733,1036,848,9,"23",6,"8","8",8,"4",11
